기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2022,4,A,골목상권,2111090,강일동주민센터,744,547,197,0,90,161,195,190,108,0,55,111,143,143,95,0,35,50,52,47,13
2022,4,A,골목상권,2111089,상일여고(상일초등학교),1080,716,364,0,123,216,260,297,184,0,58,146,184,192,136,0,65,70,76,105,48
2022,4,A,골목상권,2111088,고덕동성당,1187,964,223,0,40,92,230,464,361,0,10,55,178,388,333,0,30,37,52,76,28
2022,4,A,골목상권,2111087,고덕중학교(고덕2동주민센터),743,270,473,0,85,157,184,208,109,0,17,54,69,77,53,0,68,103,115,131,56
2022,4,A,골목상권,2111086,한영중고,862,441,421,1,73,196,209,284,99,1,32,75,97,157,79,0,41,121,112,127,20
2022,4,A,골목상권,2111085,묘곡초등학교(고덕아이파크아파트),1560,790,770,0,154,294,388,398,326,0,61,149,173,196,211,0,93,145,215,202,115
2022,4,A,골목상권,2111084,길동신동아아파트,1362,726,636,2,136,245,267,388,324,2,79,146,133,178,188,0,57,99,134,210,136
2022,4,A,골목상권,2111083,GS강동자이아파트,2403,1398,1005,4,274,421,473,661,570,3,157,263,263,330,382,1,117,158,210,331,188
2022,4,A,골목상권,2111082,중앙보훈병원,3359,1319,2040,1,743,904,629,688,394,0,187,326,270,308,228,1,556,578,359,380,166
2022,4,A,골목상권,2111081,둔촌푸르지오아파트,1104,672,432,2,139,198,218,280,267,1,73,121,129,149,199,1,66,77,89,131,68
2022,4,A,골목상권,2111080,굽은다리역 3번,1916,853,1063,2,204,357,453,489,411,0,72,184,206,194,197,2,132,173,247,295,214
2022,4,A,골목상권,2111079,둔촌고등학교(둔촌중학교),4407,1934,2473,5,873,1139,885,927,578,2,262,460,418,421,371,3,611,679,467,506,207
2022,4,A,골목상권,2111078,굽은다리역 4번,4203,2519,1684,9,398,735,962,1078,1021,5,210,458,553,637,656,4,188,277,409,441,365
2022,4,A,골목상권,2111077,길동주민센터(강동도서관),7382,3886,3496,18,774,1285,1701,1972,1632,11,369,733,911,873,989,7,405,552,790,1099,643
2022,4,A,골목상권,2111076,둔촌2동주민센터,2891,1678,1213,5,343,628,708,627,580,3,143,341,445,347,399,2,200,287,263,280,181
2022,4,A,골목상권,2111075,굽은다리역 2번,2664,1415,1249,4,325,517,647,666,505,2,142,299,313,346,313,2,183,218,334,320,192
2022,4,A,골목상권,2111074,명일역 1번,2753,1586,1167,6,360,639,696,662,390,3,186,384,382,384,247,3,174,255,314,278,143
2022,4,A,골목상권,2111073,둔촌동역 1번(한산중학교),7031,3540,3491,23,864,1431,1725,1807,1181,17,408,802,924,722,667,6,456,629,801,1085,514
2022,4,A,골목상권,2111072,굽은다리역 1번(십자성마을),3937,2371,1566,10,383,823,989,935,797,5,173,470,582,587,554,5,210,353,407,348,243
2022,4,A,골목상권,2111071,천동초등학교,2389,1343,1046,2,222,450,615,554,546,1,78,232,345,319,368,1,144,218,270,235,178
2022,4,A,골목상권,2111070,천호초등학교,1943,1134,809,6,159,424,513,540,301,1,60,208,282,348,235,5,99,216,231,192,66
2022,4,A,골목상권,2111069,천호1동주민센터,2681,1438,1243,8,249,538,670,683,533,3,87,245,351,385,367,5,162,293,319,298,166
2022,4,A,골목상권,2111068,강동성심병원,5278,2358,2920,14,977,1083,1209,1196,799,9,331,516,613,453,436,5,646,567,596,743,363
2022,4,A,골목상권,2111067,강동구립성내도서관,8062,3945,4117,26,1296,1623,1874,1847,1396,18,505,849,990,787,796,8,791,774,884,1060,600
2022,4,A,골목상권,2111066,암사동성당(효정하나플러스아파트),1961,1136,825,5,220,423,443,525,345,1,83,210,252,350,240,4,137,213,191,175,105
2022,4,A,골목상권,2111065,천일초등학교,1492,799,693,2,131,236,313,349,461,2,45,104,141,160,347,0,86,132,172,189,114
2022,4,A,골목상권,2111064,둔촌동역 4번,2951,1763,1188,10,355,587,666,719,614,8,178,353,397,419,408,2,177,234,269,300,206
2022,4,A,골목상권,2111063,강동구립 천호도서관,3759,2069,1690,9,344,581,681,729,1415,7,127,263,349,361,962,2,217,318,332,368,453
2022,4,A,골목상권,2111062,둔촌동역 3번(성내3동주민센터),4393,2785,1608,8,584,1064,1191,921,625,7,323,676,750,580,449,1,261,388,441,341,176
2022,4,A,골목상권,2111061,암사역 1번,4194,1874,2320,3,413,710,856,1012,1200,2,170,393,411,369,529,1,243,317,445,643,671
2022,4,A,골목상권,2111060,암사역 2번(서울강동초등학교),3573,1892,1681,10,392,741,923,871,636,5,141,348,473,483,442,5,251,393,450,388,194
2022,4,A,골목상권,2111059,강동역 4번(강풀만화거리),8028,4328,3700,18,1275,1454,1658,1571,2052,8,537,734,860,875,1314,10,738,720,798,696,738
2022,4,A,골목상권,2111058,성내중학교,2639,1612,1027,3,339,606,682,702,307,1,181,384,406,450,190,2,158,222,276,252,117
2022,4,A,골목상권,2111057,천호공원(해공체육문화센터),2118,1068,1050,2,216,311,437,508,644,2,76,120,175,230,465,0,140,191,262,278,179
2022,4,A,골목상권,2111056,천호태영아파트,2758,1458,1300,5,235,331,469,477,1241,1,89,126,195,239,808,4,146,205,274,238,433
2022,4,A,골목상권,2111055,선사초등학교,2553,999,1554,3,292,461,575,738,484,2,137,240,250,203,167,1,155,221,325,535,317
2022,4,A,골목상권,2111054,암사역 4번(삼성광나루아파트),3414,1360,2054,3,354,528,650,844,1035,2,146,268,280,241,423,1,208,260,370,603,612
2022,4,A,골목상권,2111053,성내천어린이공원(하니사랑길),23519,17241,6278,41,2641,6412,5666,5352,3407,17,1608,4669,4234,4068,2645,24,1033,1743,1432,1284,762
2022,4,A,골목상권,2111052,암사역 3번(천호동자전거거리),2457,1236,1221,3,262,428,525,464,775,2,92,220,265,243,414,1,170,208,260,221,361
2022,4,A,골목상권,2111051,천호역 6번,7112,4029,3083,12,975,1636,1725,1854,910,5,493,791,894,1177,669,7,482,845,831,677,241
2022,4,A,골목상권,2111050,강동구청(강동구청역 2번),7541,4687,2854,33,867,1785,1796,1858,1202,14,420,959,1100,1292,902,19,447,826,696,566,300
2022,4,A,골목상권,2111049,천호지구대(천호동자전거거리),2201,1197,1004,9,263,431,513,499,486,5,120,216,267,255,334,4,143,215,246,244,152
2022,4,A,골목상권,2111048,천호역 1번(천호문구완구거리),2003,1064,939,9,254,435,468,419,418,5,102,209,259,213,276,4,152,226,209,206,142
2022,4,A,골목상권,2111047,마천1치안센터,1261,723,538,1,123,268,342,314,213,1,61,146,181,168,166,0,62,122,161,146,47
2022,4,A,골목상권,2111046,마천역(마천초등학교),2822,1633,1189,5,296,604,772,740,405,1,151,347,410,407,317,4,145,257,362,333,88
2022,4,A,골목상권,2111045,개미어린이공원,2261,1195,1066,9,291,357,534,692,378,3,183,228,298,294,189,6,108,129,236,398,189
2022,4,A,골목상권,2111044,남천초등학교,1904,989,915,1,188,378,512,520,305,0,84,186,225,248,246,1,104,192,287,272,59
2022,4,A,골목상권,2111043,마천공원,2200,1378,822,9,268,499,540,524,360,8,156,311,303,321,279,1,112,188,237,203,81
2022,4,A,골목상권,2111042,거여역 1번(거여공원),5740,3468,2272,22,960,1303,1427,1224,804,16,539,869,864,669,511,6,421,434,563,555,293
